Place_Name,Item,,Category,Sub1,Sub2,Within_Places,Total_Instances,Latitude,Longitude,Source? (for LatLon),Notes/questions
Aigai - Temple of Asklepios,,,infrastructure,Religious Non-Christian,temple,1,37.5983,23.0743,https://pleiades.stoa.org/places/570127?searchterm=temple+of+asklepios,
Temple of Aphrodite,Aphaka - Temple of Aphrodite,,infrastructure,Religious Non-Christian,temple,,1,34.0661635,35.8885415,,
Synagogue,Constantinople - Synagogue,infrastructure,Religious Non-Christian,synagogue,,,1,41.009504,28.978344,Süleyman Kırımtayıf Converted Byzantine Churches in Istanbul: Their Transformation into Mosques and Masjids (Istanbul: Ege Yayinları2001),"the text refers to the synagogue as being in ""in the Chalkoprateia"" before Justin destroys it the byzantine legacy says this church (The Church of Theotokos Chalkoprateia) was built on the site of an old synagogue NK"
Hippodrome (covered),Constantinople - Hippodrome (covered),,infrastructure,Populus,stadium,within Palace,1,41.0059,28.975397,,
"Holy Resurrection, church of",Jerusalem - Holy Resurrection Church,,infrastructure,Ecclesia,church,,1,,,,"this should be combined with ""Jerusalem - Holy Sepulchre Church"""
"Sergius the Martyr, sanctuary of (St. Hormisdas)",Constantinople - Sergius the Martyr (St. Hormisdas),,infrastructure,Ecclesia,shrine,,1,41.002747,28.972227,"https://www.google.com/maps/dir//41.002727,28.972213/@41.0027958,28.9702311,16.65z",
"St. Peter, shrine",Rome - St. Peter,,infrastructure,Ecclesia,shrine,,1,41.5408,12.2712,https://en.wikipedia.org/wiki/St._Peter%27s_Basilica,
"St. Thomas, Shrine of",Edessa - Shrine of St. Thomas,,infrastructure,Ecclesia,shrine,,1,38.4072,42.8917,"https://www.google.com/maps/place/Alt%C4%B1nsa%C3%A7,+65700+Geva%C5%9F%2FVan,+Turkey/@38.4068854,42.8874122,16z/data=!3m1!4b1!4m5!3m4!1s0x400d9d772d74051d:0x3614ae16bfe1116!8m2!3d38.4067999!4d42.8917",
Constantinople - Statue of Anastasius,Alexandria - Anastasius Statue in Antikantharos,Constantinople - Statue of Anastasius,infrastructure,Populus,monument,within Antikantharos,1,41.009537,28.961749,"https://www.google.com/maps/dir/Theodosius+Forumu/Balabana%C4%9Fa,+Forum+of+Theodosius,+Ordu+Cd.,+34134+Fatih%2F%C4%B0stanbul,+Turkey/@41.009541,28.9595603,17z/data=!4m14!4m13!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!1m5!1m1!1s0x14cab971f0edc9a1:0x1ecad85ea5f14767!2m2!1d28.9617387!2d41.0095451!3e1",
Constantinople - Statue of Arkadios,Constantinople - Arkadios (by the arch of the Tauros),Constantinople - Statue of Arkadios,infrastructure,Populus,monument,,1,41.0078,28.9431,,"the two Arkadios items should be collapsed, they are the same"
Constantinople - Statue of Arkadios,Constantinople - Arkadios (in the Xerolophos),Constantinople - Statue of Arkadios,infrastructure,Populus,monument,,1,41.0078,28.9431,,
Statue of Dionysus,Emesa - Statue of Dionysus,,infrastructure,Populus,monument,,1,34.7293,36.72,https://en.wikipedia.org/wiki/Saint_Mary_Church_of_the_Holy_Belt,"this is within the great church of Emesa, according to ODLA (https://books.google.com/books?id=A09WDwAAQBAJ&pg=PA534&lpg=PA534&dq=dionysus+emesa&source=bl&ots=8voBwLaKfu&sig=ACfU3U3Au2-15U6Yr6hFobQM-2Abog7dwQ&hl=en&ppis=_e&sa=X&ved=2ahUKEwiL6v6i4rvnAhURVt8KHc3gAksQ6AEwBHoECAgQAQ#v=onepage&q=dionysus%20emesa&f=false) It seems likely to me that this is the church mentioned, given context clues, but I would like confirmation "
"Chora, monastery of",Constantinople - Chora,,infrastructure,Ecclesia,monastery,,1,41.0312,28.9392,,
"Hormisdas, monastery of",Constantinople - Hormisdas,,infrastructure,Ecclesia,monastery,,1,41.0027,28.9722,https://latitude.to/articles-by-country/tr/turkey/18164/little-hagia-sophia,
"Konon, Monastery of",Constantinople - Konon,,infrastructure,Ecclesia,monastery,,1,35.3849,33.8991,https://en.wikipedia.org/wiki/Kantara_monastery,
St. Diomedes (?),Constantinople - St. Diomedes,,infrastructure,Ecclesia,monastery,,1,40.996046,28.925177,,
"St. Sabas, monastery",Rome - St. Sabas,,infrastructure,Ecclesia,monastery,,1,41.5243,12.2908,"https://en.wikipedia.org/wiki/San_Saba,_Rome",
Kanopos (or Metanoia),Kanopos (or Metanoia),,infrastructure,Ecclesia,monastery,,1,31.3,30.0833,,
Martyrium,Jerusalem - Martyrium,,infrastructure,Ecclesia,shrine,,1,31.778499,35.229534,,should also be combined with the church of the holy speulchre (see the western dome)
Tetrapylon,Constantinople - Tetrapylon,,infrastructure,Defense,gate,,1,41.008675,28.96698,,
The Gate to Rome,Constantinople - Gate to Rome,,infrastructure,Defense,gate,,1,41.022719,28.926154,,
The Market,Carthage - The Market,,infrastructure,Populus,forum,,1,36.7971,10.1698,"https://www.google.com/maps/place/Souk+el+Bey/@36.797581,10.169707,15z/data=!4m5!3m4!1s0x0:0xea5170b4c61797e4!8m2!3d36.797581!4d10.169707","Modern archeologists on the site have not yet 'discovered' the ancient agora. Lancel, Carthage (Paris 1992; Oxford 1997) at 141."
"St. Stephen, church",Jerusalem - St. Stephen,,infrastructure,Ecclesia,church,,1,31.784999,35.229989,,
The Cistern of the Basilica,Constantinople - The Cistern of the Basilica,,infrastructure,Hydrology,cistern,,1,41.029,28.584,https://en.wikipedia.org/wiki/Basilica_Cistern,
Church of St. Peter,Tarsos/Tarsus - Church of St. Peter,,infrastructure,Ecclesia,church,,1,36.9143,34.8978,"https://www.google.com/maps/place/Saint+Paul's+Church,+Tarsus/@36.9141026,34.8955939,17z/data=!3m1!4b1!4m5!3m4!1s0x1527de65dbcdbbd1:0x90140eca7b6169a7!8m2!3d36.9141026!4d34.8977826",
"Edessa, Church of",Edessa - Church of Edessa,,infrastructure,Ecclesia,church,,1,37.1506,38.7933,"https://www.google.com/maps/place/Reji+Kilisesi/@37.1501183,38.793687,16.15z/data=!4m5!3m4!1s0x0:0x4169b83099e221f1!8m2!3d37.150298!4d38.79328",
"Forty Saints,  church of the",Constantinople - Forty Saints,,infrastructure,Ecclesia,church,,1,41.008438,28.966553,,
Constantinople - Great Church of Blachernai,Constantinople - Great Church of Blachernai,,infrastructure,Ecclesia,church,,1,41.0383,28.9425,https://tools.wmflabs.org/geohack/geohack.php?pagename=Church_of_St._Mary_of_Blachernae_(Istanbul)&params=41.0383_N_28.9425_E_type:landmark_region:TR,
"Laurentius, church of the Holy Martyr","Constantinople - Laurentius, church of the Holy Martyr",,infrastructure,Ecclesia,church,,1,41.0249,28.956366,,
