,Field1,Chronicle_Name,Alternative_Names,Category,Comments,Recogito_Names,URI,ID,Lat,Lon,Total_Instances,Year,Value,Province.Theme,Start,End
12,12,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5776,1,AEGYPTUS,5610,5795
32,32,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5776,1,SYRIA,5610,5795
105,105,Constantinople,"in the year 5810, 5812, 5815, 5816, 5827, 5837, 5849, it's called Byzantium and in the year 5821, 5876 it's called New Rome",NA,NA,Constantinopolis,http://pleiades.stoa.org/places/520998,520998,41.012379,28.975926,543,5776,2,BITHYNIA ET PONTUS,5610,5795
165,165,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5776,1,IUDAEA,5610,5795
215,215,"Megas Agros, monastery",NA,NA,"This is Theophanes' Own Monastery, though not precisely located, it is close enough to here: http://www.geonames.org/742166/kursunlu.html according to Mango's 1973 article on the monastery: https://www-jstor-org.ezproxy.wesleyan.edu/stable/1291343",Kursunlu,http://www.geonames.org/742166,742166,40.39679,28.28492,1,5776,1,ASIA,5610,5795
270,270,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5776,1,ITALIA,5610,5795
364,364,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5777,1,AEGYPTUS,5610,5795
384,384,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5777,1,SYRIA,5610,5795
517,517,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5777,1,IUDAEA,5610,5795
622,622,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5777,1,ITALIA,5610,5795
2273,2273,Hobousiris,NA,NA,NA,Bousiris,http://pleiades.stoa.org/places/736900,736900,29.24991,31.0923,1,5782,1,AEGYPTUS,5610,5795
2297,2297,Koptos,NA,NA,NA,Coptos,http://pleiades.stoa.org/places/786010,786010,25.996402,32.815787,1,5782,1,AEGYPTUS,5610,5795
3532,3532,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5786,2,AEGYPTUS,5610,5795
3790,3790,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5786,1,ITALIA,5610,5795
4236,4236,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5788,2,AEGYPTUS,5610,5795
4256,4256,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5788,1,SYRIA,5610,5795
4389,4389,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5788,1,IUDAEA,5610,5795
4494,4494,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5788,1,ITALIA,5610,5795
4741,4741,Jerusalem,NA,NA,NA,Ierusalem/Hierosolyma/Col. Aelia Capitolina,http://pleiades.stoa.org/places/687928,687928,31.776667,35.234167,208,5789,1,IUDAEA,5610,5795
4846,4846,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5789,1,ITALIA,5610,5795
4960,4960,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5790,1,SYRIA,5610,5795
6151,6151,Kallinikon,NA,NA,NA,Nicephorium/Callinicum/Leontopolis,http://pleiades.stoa.org/places/668318,668318,35.947807,39.023783,1,5793,1,ARMENIA AND MESOPOTAMIA,5610,5795
6155,6155,Karrhai,NA,NA,NA,Carrhae,http://pleiades.stoa.org/places/658427,658427,36.86626,39.03155,2,5793,1,ARMENIA AND MESOPOTAMIA,5610,5795
6254,6254,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5793,1,ITALIA,5610,5795
7127,7127,Caesarea (Palestine),NA,NA,NA,Qesarya,http://sws.geonames.org/7117228,7117228,32.51888,34.90459,11,5796,2,PALAESTINA,5796,5992
7310,7310,Rome,NA,NA,NA,Roma,http://pleiades.stoa.org/places/423025,423025,41.89262,12.4843457,288,5796,2,TUSCIA ET UMBRIA,5796,5992
7314,7314,Salon (Dalmatia),NA,NA,Birthplace of Diocletian (Salona/Salonae); close to Splato/Split where his palace is.,Salona,https://pleiades.stoa.org/places/197488,197488,43.539561,16.483426,1,5796,1,DALMATIA,5796,5992
7404,7404,Alexandria,NA,NA,NA,Alexandria,http://pleiades.stoa.org/places/727070,727070,31.195371,29.904133,276,5797,2,"AEGYPTUS
IOVIA",5796,5992
7424,7424,Antioch (Syria),NA,NA,NA,Antiochia/Theoupolis,http://pleiades.stoa.org/places/658381,658381,36.200663,36.165318,280,5797,2,SYRIA COELE,5796,5992
7479,7479,Caesarea (Palestine),NA,NA,NA,Qesarya,http://sws.geonames.org/7117228,7117228,32.51888,34.90459,11,5797,1,PALAESTINA,5796,5992
